Steve Beitzel,Telcordia
Raj Gururajan,University of Southern Queensland
Daniel S. Katz,University of Chicago
Cho-Li Wang,University of Hong Kong
Wang-Chien Lee,The Pennsylvania State University
Jie Li,University of Tsukuba
Yingshu Li,Georgia State University
Fabrizio Silvestri,ISTI â€“ CNR Italy
Xueyan Tang,Nanyang Technological University
Weili Wu,The University of Texas at Dallas
Dr. Xiaohua Jia,Department of Computer Science City University of Hong Kong Hong Kong
Dr. Hua Wang,University of Southern Queensland Australia
