"researcher","votes","avg_rating","votes3","avg_rating3","hindex_palsberg","pubcount_dblp","pub_citeseer","hr_index_readermeter","gr_index_readermeter","mostread_readermeter","pubcount_readermeter","bookmarks_readermeter","gs_hindex","gs_gindex","gs_aindex","gs_h2index","gs_eindex","gs_citations","gs_citedpub","gs_pubcount","gs_citationsperpaper"
Jeffrey D. Ullman,13,3.538461538,13,3.538461538,87,244,16,9,13,31,91,311,0,0,0,0,0,0,0,0,0
Vipin Kumar,4,2.25,4,2.25,45,197,40,9,15,59,206,549,67,89,275.69,15,118.25,19754,89,89,221.9550562
Michael Stonebraker,14,3.214285714,14,3.214285714,49,235,0,11,14,22,106,404,59,84,201.17,15,91.59,13038,84,84,155.2142857
Vern Paxson,3,2,0,0,43,84,30,9,12,28,104,399,55,85,395.69,17,136.89,22767,85,85,267.8470588
C.A.R. (Tony) Hoare,11,3.181818182,11,3.181818182,47,142,0,8,15,78,111,389,0,0,0,0,0,0,0,0,0
Carl Kesselman,7,2.285714286,7,2.285714286,45,108,37,10,14,33,105,400,51,65,715.86,18,184.14,37134,65,65,571.2923077
W. Bruce Croft,5,2.4,5,2.4,49,212,46,10,14,37,135,550,0,0,0,0,0,0,0,0,0
Stefano Ceri,15,3,15,3,41,248,32,7,10,27,87,251,50,97,216.32,15,91.19,12125,97,97,125
Giuseppe De Giacomo,9,2.666666667,9,2.666666667,48,171,48,5,6,12,85,173,48,84,124.08,12,60.43,7320,97,97,75.46391753
Dieter Fensel,14,2.285714286,14,2.285714286,56,166,41,11,13,20,163,495,54,79,200.35,13,88.9,11837,79,79,149.835443
Luca Cardelli,9,2.555555556,9,2.555555556,58,131,41,8,13,49,98,377,64,99,263.66,16,113.04,18111,99,99,182.9393939
Nick Jennings,7,2.142857143,7,2.142857143,76,314,0,3,3,4,64,49,10,41,166.8,7,39.6,1710,23,52,32.88461538
Daphne Koller,3,2.333333333,0,0,49,164,71,16,26,89,200,1315,68,88,208.22,15,97.65,15279,88,88,173.625
Ian Foster,8,2.375,8,2.375,90,291,73,16,23,72,500,1964,89,89,596.62,22,212.55,53099,89,89,596.6179775
C. Lee Giles,3,2.666666667,0,0,49,252,82,10,14,26,176,591,0,0,0,0,0,0,0,0,0
Frank van Harmelen,9,2.333333333,9,2.333333333,52,130,37,11,18,47,127,544,48,78,212.25,12,88.79,11083,78,78,142.0897436
Jason Cong,3,2.666666667,0,0,51,252,113,5,5,8,68,136,52,81,106.12,11,53.05,7157,98,98,73.03061224
Benjamin Pierce,7,2,7,2,40,106,8,3,6,15,20,52,22,25,117.95,9,45.95,2639,25,25,105.56
David Maier,8,2.625,8,2.625,43,213,34,5,8,21,89,200,45,89,189.82,13,80.73,9659,89,89,108.5280899
Christos Faloutsos,8,2.875,8,2.875,44,289,87,13,15,29,394,1150,66,87,295.47,17,123.07,20671,87,87,237.5977011
Geoffrey E. Hinton,4,2.5,4,2.5,46,113,14,12,18,88,109,616,0,0,0,0,0,0,0,0,0
Alon Halevy,13,3.461538462,13,3.461538462,62,203,25,12,15,23,80,428,29,52,138,12,56.22,4326,52,52,83.19230769
Joachim Weickert,2,2,0,0,41,144,34,8,11,35,64,234,43,86,146.74,12,66.79,7524,94,94,80.04255319
Edmund M. Clarke,6,3.833333333,6,3.833333333,40,233,24,7,11,22,43,186,0,0,0,0,0,0,0,0,0
David J. DeWitt,10,3.1,10,3.1,49,181,34,7,10,22,78,261,0,0,0,0,0,0,0,0,0
Christian S. Jensen,10,2.3,10,2.3,45,259,61,5,6,7,82,172,0,0,0,0,0,0,0,0,0
Ahmed Elmagarmid,7,2.857142857,7,2.857142857,43,158,13,3,4,10,10,26,14,20,81.5,6,30.74,1207,20,20,60.35
Serge Abiteboul,13,2.923076923,13,2.923076923,49,238,61,8,11,23,88,267,64,99,279,15,117.3,19138,99,99,193.3131313
Deborah L. McGuinness,8,2.5,8,2.5,41,110,17,12,18,41,157,730,0,0,0,0,0,0,0,0,0
Hector Garcia-Molina,14,3.214285714,14,3.214285714,89,378,126,13,19,61,215,942,0,0,0,0,0,0,0,0,0
Amit Sheth,14,2.5,14,2.5,63,221,34,8,12,30,122,393,51,62,162.78,12,75.5,8757,62,62,141.2419355
Sushil Jajodia,5,3,5,3,65,377,62,6,8,15,108,235,60,94,168.35,14,80.63,11642,94,94,123.8510638
Demetri Terzopoulos,2,2.5,0,0,64,98,38,9,16,115,103,471,59,87,447.05,17,151.31,27204,87,87,312.6896552
Ben Bederson,2,2,0,0,41,83,2,3,3,3,10,15,9,25,66.22,5,22.69,646,24,46,14.04347826
Ramesh Govindan,4,2.75,4,2.75,43,119,48,9,13,40,84,355,53,81,352.68,15,126.03,19539,81,81,241.2222222
Nancy Lynch,4,2.25,4,2.25,40,249,65,4,8,30,48,117,43,51,132.35,12,61.98,6017,51,51,117.9803922
David Harel,10,2.6,10,2.6,46,190,44,9,13,50,136,429,53,95,395.43,17,134.72,22273,95,95,234.4526316
Steffen Staab,9,1.888888889,9,1.888888889,60,212,57,10,13,28,193,577,57,83,159.16,13,76.31,10114,83,83,121.8554217
Mario Gerla,2,2.5,0,0,61,284,69,5,7,11,125,251,71,91,261.66,17,116.35,19741,91,91,216.9340659
Michael J. Carey,7,2.714285714,7,2.714285714,48,185,35,4,5,12,43,90,0,0,0,0,0,0,0,0,0
Richard Baraniuk,1,2,0,0,48,82,11,5,8,20,37,124,19,19,99.05,7,39,1882,19,19,99.05263158
George Varghese,3,2,0,0,40,117,44,7,9,17,78,219,52,64,182.42,13,82.35,10007,64,64,156.359375
Wil van der Aalst,19,3.368421053,19,3.368421053,68,291,7,4,4,6,26,42,18,18,214.72,10,59.51,3865,18,18,214.7222222
Frank van Harmelen,9,2.333333333,9,2.333333333,52,131,37,11,18,47,127,544,48,78,212.25,12,88.79,11083,78,78,142.0897436
Nick McKeown,1,3,0,0,42,76,24,6,8,12,54,138,34,68,179.85,11,70.42,6607,68,68,97.16176471
David Haussler,1,3,0,0,70,119,23,24,38,215,270,2500,48,50,230.54,14,93.61,11161,50,50,223.22
Avi Wigderson,3,3,0,0,43,246,49,4,7,21,86,176,42,69,177.76,12,75.51,8361,69,69,121.173913
Richard Snodgrass,6,2.833333333,6,2.833333333,45,235,7,3,5,10,13,35,24,28,121.58,9,48.39,2981,28,28,106.4642857
Robert Tarjan,5,3.6,5,3.6,82,251,5,3,6,23,9,40,6,6,674.5,6,63.33,4047,6,6,674.5
Rakesh Agrawal,12,3.166666667,12,3.166666667,52,241,51,10,13,26,126,442,77,100,649.4,21,209.94,51476,100,100,514.76
Andrew Blake,2,3,0,0,57,129,26,8,12,41,89,303,57,91,278.35,15,112.33,17122,91,91,188.1538462
Pat Hanrahan,0,0,0,0,42,103,37,12,16,49,150,693,42,64,243.38,14,91.97,10760,64,64,168.125
Margaret Martonosi,0,0,0,0,40,108,53,5,7,15,76,171,42,89,177.62,12,75.47,8532,89,89,95.86516854
Won Kim,4,3,4,3,43,209,5,8,11,32,500,1057,0,0,0,0,0,0,0,0,0
Ion Stoica,0,0,0,0,48,118,49,11,16,33,140,618,42,56,424.05,14,126.67,18188,56,56,324.7857143
Jim Kurose,0,0,0,0,47,183,37,5,7,13,38,99,45,87,162.76,13,72.79,8326,87,87,95.70114943
David E. Goldberg,1,4,0,0,54,223,65,5,10,59,189,389,0,0,0,0,0,0,0,0,0
Maurizio Lenzerini,12,3,12,3,56,203,70,5,7,18,87,195,44,75,148.27,12,67.73,7481,75,75,99.74666667
John A. Stankovic,3,2,0,0,46,241,74,7,10,22,79,251,0,0,0,0,0,0,0,0,0
Alberto Sangiovanni-Vincentelli,3,2.666666667,0,0,50,444,48,3,4,6,59,92,0,0,0,0,0,0,0,0,0
Milind Tambe,0,0,0,0,41,164,72,5,6,10,119,206,43,80,127.67,11,60.34,6487,81,81,80.08641975
Eitan Altman,0,0,0,0,41,226,48,4,5,9,82,127,43,70,95.05,9,47.31,5554,96,96,57.85416667
Songwu Lu,0,0,0,0,41,69,29,5,7,10,61,157,43,84,191.35,13,79.87,8692,84,84,103.4761905
Zoubin Ghahramani,0,0,0,0,43,0,21,11,13,25,189,692,46,94,227.59,14,91.39,11585,94,94,123.2446809
Thomas A. Henzinger,1,3,0,0,42,0,104,8,13,63,107,314,0,0,0,0,0,0,0,0,0
Thomas W. Reps,1,1,0,0,51,0,1,2,2,2,6,11,0,0,0,0,0,0,0,0,0
Henry Levy,2,2,0,0,40,0,8,4,5,7,13,40,10,10,195.6,5,43.08,1956,10,10,195.6
Erkki Oja,1,1,0,0,42,0,22,6,9,26,85,208,45,96,380,12,122.78,18403,96,96,191.6979167
David S. Johnson,3,3,0,0,40,0,10,12,20,99,67,474,0,0,0,0,0,0,0,0,0
Dinesh Manocha,1,1,0,0,55,0,72,7,9,20,151,414,44,62,122.11,10,58.63,6012,62,62,96.96774194
Maja Mataric,1,1,0,0,40,0,8,4,4,5,28,58,6,6,47.83,5,15.84,287,6,6,47.83333333
Kim G. Larsen,1,1,0,0,46,0,35,3,4,9,26,47,0,0,0,0,0,0,0,0,0
David Culler,4,2.75,4,2.75,70,0,33,13,18,61,119,605,42,42,487.71,18,136.82,20484,42,42,487.7142857
Philip S. Yu,8,3,8,3,74,0,108,11,14,25,215,707,0,0,0,0,0,0,0,0,0
Amir Pnueli,7,3,7,3,54,0,44,4,6,14,65,123,72,96,282.57,16,123.13,21632,96,96,225.3333333
Stanley Osher,2,1.5,0,0,52,0,8,7,8,13,98,277,64,85,426.27,17,152.27,28385,85,85,333.9411765
Jon Kleinberg,3,2.666666667,0,0,41,0,53,2,3,6,5,11,44,68,194.89,14,81.48,9185,68,68,135.0735294
Jim Gray,14,3.571428571,14,3.571428571,45,0,14,9,13,29,174,401,46,68,334.59,14,115.22,16199,68,68,238.2205882
Bernhard Schölkopf,1,1,0,0,71,0,0,3,7,36,12,54,0,0,0,0,0,0,0,0,0
Amin Vahdat,1,1,0,0,51,0,36,9,12,38,95,336,32,59,147.53,11,60.8,5173,59,59,87.6779661
Hsinchun Chen,0,0,0,0,50,0,39,8,10,26,260,609,53,80,100.23,11,50.03,6725,92,92,73.09782609
Tomaso Poggio,3,3,0,0,89,0,35,17,24,56,181,965,76,85,353.32,19,145.18,27426,85,85,322.6588235
Joseph M. Hellerstein,3,2.333333333,0,0,51,0,60,9,12,23,101,333,0,0,0,0,0,0,0,0,0
Victor Lesser,2,3,0,0,45,0,29,5,6,14,88,175,42,46,93.88,10,46.68,4106,46,46,89.26086957
Sebastian Thrun,1,4,0,0,49,0,81,13,17,36,247,892,75,78,264.96,17,119.36,20094,78,78,257.6153846
David Salesin,1,1,0,0,44,0,6,6,9,23,43,170,14,20,51,5,22.76,763,20,20,38.15
Ronald L. Rivest,3,4,0,0,43,0,28,8,18,155,87,449,0,0,0,0,0,0,0,0,0
Ian Horrocks,4,2,4,2,63,0,81,11,14,25,210,680,60,73,219.53,16,97.84,13807,73,73,189.1369863
Alex Pentland,0,0,0,0,83,0,42,10,15,61,121,452,59,59,418.24,17,145.59,24676,59,59,418.2372881
Jiawei Han,1,3,0,0,51,0,123,12,16,30,279,933,91,95,404.15,19,168.81,37138,95,95,390.9263158
Aaron Bobick,0,0,0,0,45,0,12,5,6,13,17,59,20,40,103.25,8,40.8,2275,40,40,56.875
Christos H. Papadimitriou,4,4,4,4,79,0,27,8,13,35,88,317,0,0,0,0,0,0,0,0,0
Jitendra Malik,1,1,0,0,55,0,49,13,20,116,118,709,59,85,419.93,17,145.93,25788,85,85,303.3882353
Brad Myers,6,2.333333333,6,2.333333333,49,0,8,5,6,9,34,91,13,13,93.62,7,32.37,1217,13,13,93.61538462
Daniel Siewiorek,2,1.5,0,0,49,0,4,2,4,15,9,24,5,5,59.2,4,16.46,296,5,5,59.2
Moshe Y. Vardi,8,3.125,8,3.125,45,0,112,5,8,18,105,208,0,0,0,0,0,0,0,0,0
James Hendler,1,1,0,0,58,0,27,12,14,21,189,609,47,60,167.6,13,75.29,8328,60,60,138.8
Douglas C. Schmidt,1,3,0,0,46,0,62,5,7,13,151,267,0,0,0,0,0,0,0,0,0
Thomas S. Huang,0,0,0,0,46,0,0,7,12,49,146,392,0,0,0,0,0,0,0,0,0
H. V. Jagadish,2,3.5,0,0,44,0,59,9,14,30,155,501,0,0,0,0,0,0,0,0,0
Didier Dubois,2,1.5,0,0,41,0,28,3,4,7,96,142,81,100,269.26,15,123.49,23182,100,100,231.82
Takeo Kanade,1,4,0,0,68,0,74,9,12,21,184,511,82,89,358.15,19,150.48,29924,89,89,336.2247191
Alan Yuille,0,0,0,0,50,0,6,9,16,52,76,378,23,45,125.74,11,48.61,3188,45,45,70.84444444
Tuomas Sandholm,0,0,0,0,46,0,79,6,7,13,83,190,48,86,133.96,11,64.23,7762,86,86,90.25581395
Ken Kennedy,0,0,0,0,54,0,67,6,7,9,42,106,66,86,179.15,14,86.42,12836,86,86,149.255814
Randy H. Katz,0,0,0,0,56,0,27,6,9,25,94,239,0,0,0,0,0,0,0,0,0
Robbert van Renesse,0,0,0,0,44,0,35,6,9,21,52,154,39,80,189.95,11,76.73,8314,80,80,103.925
Don Towsley,0,0,0,0,77,0,106,6,8,11,117,263,69,69,241.75,17,109.18,16681,69,69,241.7536232
Gaurav Sukhatme,0,0,0,0,45,0,6,3,4,5,22,43,12,12,64.5,5,25.1,774,12,12,64.5
Prabhakar Raghavan,1,1,0,0,45,0,35,12,20,42,124,633,54,77,345.37,17,125.44,19426,77,77,252.2857143
Heikki Mannila,2,2,0,0,45,0,38,6,8,17,87,225,51,87,260.94,14,103.47,14301,87,87,164.3793103
Oded Goldreich,3,3.333333333,0,0,44,0,64,8,9,13,137,315,64,93,271.56,16,115.26,18702,93,93,201.0967742
Hector Levesque,1,4,0,0,49,0,5,3,6,21,10,47,14,18,185.57,6,49.01,2647,18,18,147.0555556
Anil K. Jain,3,2.333333333,0,0,86,0,89,10,17,142,180,531,0,0,0,0,0,0,0,0,0
Alan Newell,1,2,0,0,57,0,0,2,2,3,16,22,9,9,28.22,4,13.15,254,9,9,28.22222222
Leslie Lamport,0,0,0,0,57,0,31,14,21,62,164,790,61,98,536.89,20,170.38,34137,98,98,348.3367347
Andrew Zisserman,1,1,0,0,72,0,20,18,25,60,409,1788,70,86,302.84,15,127.67,22169,86,86,257.7790698
Kurt Keutzer,2,1.5,0,0,46,0,24,5,12,73,53,210,42,79,132.17,11,61.54,6379,79,79,80.74683544
Adi Shamir,3,4,0,0,53,0,31,4,4,7,67,90,58,97,546.12,16,168.26,33273,97,97,343.0206186
Jon Crowcroft,1,1,0,0,49,0,32,8,13,38,200,499,47,80,197.74,13,84.17,10303,80,80,128.7875
Adrian Perrig,2,1,0,0,56,0,44,7,10,41,114,312,56,93,321.84,16,122.01,19101,93,93,205.3870968
Francisco Herrera,1,1,0,0,55,0,3,4,5,9,70,117,44,68,138.05,12,64.33,6739,68,68,99.10294118
Rajeev Motwani,1,4,0,0,45,0,59,9,17,50,121,494,55,75,613.33,17,175.24,34579,75,75,461.0533333
David Dill,1,1,0,0,56,0,6,3,4,9,11,29,28,28,184.29,11,66.15,5160,28,28,184.2857143
HongJiang Zhang,1,1,0,0,56,0,26,5,6,13,59,140,26,39,77.73,8,36.67,2259,39,39,57.92307692
Moni Naor,3,3,0,0,49,0,70,5,7,10,109,226,59,99,258.17,18,108.4,16801,99,99,169.7070707
Gene Tsudik,2,2,0,0,45,0,49,4,5,7,98,162,43,83,191.63,13,79.94,9214,83,83,111.0120482
Leonidas J. Guibas,1,1,0,0,49,0,47,8,10,30,145,362,0,0,0,0,0,0,0,0,0
Martin Vetterli,1,1,0,0,64,0,53,8,11,20,94,279,61,83,310.56,16,123.38,20066,83,83,241.7590361
Baruch Awerbuch,2,1.5,0,0,51,0,49,4,4,5,80,141,52,89,127.94,12,62.84,8212,99,99,82.94949495
Noga Alon,2,1.5,0,0,49,0,84,6,9,22,135,254,61,100,191.34,13,89.17,13571,100,100,135.71
Rafail Ostrovsky,3,2.666666667,0,0,42,0,57,4,5,10,81,140,43,74,108.86,10,53.22,5846,95,95,61.53684211
Barbara Liskov,1,4,0,0,43,0,36,6,7,11,86,203,57,87,199.93,15,90.26,12421,87,87,142.7701149
Sally Floyd,1,1,0,0,53,0,17,6,8,28,49,154,61,95,557.39,20,174.01,35333,95,95,371.9263158
Deborah Estrin,1,1,0,0,94,0,0,12,17,48,233,907,71,71,510.35,22,176.62,36235,71,71,510.3521127
Mihir Bellare,3,3.666666667,0,0,57,0,52,6,7,12,110,210,64,98,279.89,16,117.55,19430,98,98,198.2653061
Robert Kraut,1,1,0,0,58,0,8,9,12,27,96,336,27,27,221.33,11,72.44,5976,27,27,221.3333333
Gregory D. Abowd,1,1,0,0,46,0,38,11,19,84,211,793,0,0,0,0,0,0,0,0,0
Richard Lipton,1,1,0,0,47,0,4,3,3,6,22,27,9,9,166.56,9,37.66,1499,9,9,166.5555556
David Garlan,3,2.666666667,0,0,56,0,31,9,15,42,93,404,57,95,314.19,18,121.08,19232,95,95,202.4421053
Eduardo Sontag,1,1,0,0,53,0,1,6,9,30,28,109,13,13,116.38,8,36.66,1513,13,13,116.3846154
David Karger,1,1,0,0,52,0,22,8,13,33,80,300,35,40,459.94,13,121.95,16229,40,40,405.725
Zbigniew Michalewicz,1,1,0,0,45,0,13,5,8,20,33,100,43,93,477.37,14,136.67,21488,93,93,231.0537634
Rajeev Rastogi,1,1,0,0,44,0,40,6,9,14,57,166,41,85,179.88,11,75.46,8559,85,85,100.6941176
Erol Gelenbe,3,2.333333333,0,0,43,0,5,4,8,50,40,101,40,68,98.67,10,48.45,5028,93,93,54.06451613
Krithi Ramamritham,1,1,0,0,43,0,71,4,5,10,64,120,48,77,141.69,13,67.06,7848,77,77,101.9220779
Barry Boehm,1,4,0,0,42,0,16,7,9,23,109,274,39,61,238.97,12,88.31,10024,61,61,164.3278689
Alex Aiken,1,1,0,0,41,0,18,6,8,14,43,148,24,53,104.42,9,43.93,2919,77,86,33.94186047
Paul Dourish,1,1,0,0,41,0,30,17,25,91,201,1152,44,94,227.16,13,89.77,11025,94,94,117.287234
Monica S. Lam,1,1,0,0,41,0,47,7,10,18,65,215,0,0,0,0,0,0,0,0,0
Craig Chambers,1,1,0,0,40,0,43,6,7,13,61,157,44,84,149.8,13,68.23,7282,84,84,86.69047619
Badri Nath,1,1,0,0,45,0,12,4,5,11,29,71,26,71,188.12,10,64.92,5155,70,76,67.82894737
Chandrajit Bajaj,1,1,0,0,43,0,17,5,6,9,53,137,26,46,79.69,8,37.36,2396,46,46,52.08695652
John Stasko,1,1,0,0,42,0,15,8,12,29,73,257,26,40,87.23,8,39.9,2509,40,40,62.725
Victor Basili,7,2.428571429,7,2.428571429,44,0,10,5,6,13,36,87,17,17,71.94,8,30.56,1223,17,17,71.94117647
Sargur Srihari,2,1.5,0,0,40,0,0,2,2,4,6,11,9,9,23.67,4,11.49,213,9,9,23.66666667
Ron Fedkiw,2,1.5,0,0,43,0,1,6,7,11,20,76,6,22,80.5,4,21.14,509,15,28,18.17857143
Alex Nicolau,2,2,0,0,44,0,26,3,5,13,21,50,16,29,45.62,6,21.77,932,57,60,15.53333333
Xin Yao,4,2,4,2,40,0,0,5,9,38,230,319,47,81,176.26,12,77.94,9590,81,81,118.3950617
Henri Prade,2,1.5,0,0,84,0,31,3,3,4,87,118,78,97,220.44,15,105.4,18520,97,97,190.9278351
Judea Pearl,5,2.6,5,2.6,47,0,17,9,14,60,162,459,63,100,504.13,16,166.71,33550,100,100,335.5
Rajeev Alur,2,1,0,0,49,0,75,5,8,23,65,143,58,99,303.93,16,119.43,18955,99,99,191.4646465
Andrew B. Kahng,2,2,0,0,50,0,90,3,6,23,38,79,0,0,0,0,0,0,0,0,0
Frank Pfenning,2,1.5,0,0,46,0,44,7,8,14,83,174,46,85,131.41,12,62.68,7386,94,94,78.57446809
Miron Livny,2,1.5,0,0,42,0,60,7,12,40,70,232,60,82,250.95,14,107.04,16129,82,82,196.695122
Luis Gravano,3,2.333333333,0,0,41,0,0,6,9,24,89,219,39,78,143.1,13,63.72,6132,87,87,70.48275862
Ricardo Baeza-Yates,13,3.153846154,13,3.153846154,43,0,30,8,14,48,150,459,0,0,0,0,0,0,0,0,0
Mihalis Yannakakis,4,2,4,2,48,0,19,5,7,23,49,123,60,86,201.58,15,92.17,12967,86,86,150.7790698
Jeffrey Vitter,2,1.5,0,0,55,0,1,1,1,1,2,2,9,9,118.11,5,31.34,1063,9,9,118.1111111
Joseph Goguen,3,2.333333333,0,0,43,0,11,4,5,10,64,112,36,51,98.89,10,47.58,3998,51,51,78.39215686
Pierre Baldi,4,3,4,3,48,0,0,10,14,61,146,562,43,71,167.21,12,73.08,7920,71,71,111.5492958
Zhengyou Zhang,4,2.75,4,2.75,40,0,0,6,9,34,60,174,40,95,254.25,12,92.57,11162,95,95,117.4947368
Norman I. Badler,3,2.333333333,0,0,46,0,16,6,7,10,75,164,0,0,0,0,0,0,0,0,0